,tic,statpers,fyear,actual,actual_lag1,meanest,medest,numest,stdev,statest,spe.statest,spe.medest,spe.meanest
233,NOVL,18248,2010,0.27,0.34,0.31,0.32,9,0.02,0.574555987547828,0.0927543495512328,0.0025,0.0016
234,NVLS,18311,2011,3.03,-0.51,1.73,1.7,15,0.23,0.683147063221576,5.50771870686551,1.7689,1.69
235,NUE,19039,2013,1.78,2.39,3.17,3.1,21,0.37,2.02780780383697,0.0614087076425011,1.7424,1.9321
236,OXY,19039,2013,7.09,8.39,8.36,8.32,22,0.73,8.46276286219638,1.8844778758256,1.5129,1.6129
237,ODP,19067,2013,0.03,-0.03,0.06,0.07,19,0.06,0.380010013154991,0.122507009308757,0.0016,9e-04
238,OLN,19039,2013,1.85,1.64,1.83,1.84,7,0.25,1.81560387982565,0.00118309308304803,1e-04,0.000400000000000001
239,OMC,19039,2013,3.61,3.33,3.69,3.67,21,0.11,3.55746106616143,0.00276033956889371,0.00360000000000001,0.00640000000000001
240,ORCL,19193,2013,2.68,2.46,2.66,2.65,42,0.05,2.56098719150954,0.0141640485847864,0.000900000000000015,0.000400000000000001
241,OI,19039,2013,2.64,2.37,2.76,2.75,11,0.08,2.26505617798293,0.140582869668765,0.0121,0.0143999999999999
242,PMCS,19039,2013,0.38,0.6,0.45,0.45,8,0.04,0.229553999902546,0.022633998945323,0.0049,0.0049
243,PPG,19011,2013,7.94,6.79,7.19,7.25,17,0.31,7.13412262405564,0.649438345058961,0.476100000000001,0.5625
244,PCAR,19039,2013,3.12,2.86,3.34,3.33,22,0.21,2.85045627347139,0.0726538205109307,0.0441,0.0483999999999999
245,PLL,19256,2013,3.04,2.8,3.18,3.16,10,0.05,2.90670051274791,0.0177687533016714,0.0144,0.0196
246,PZZA,19067,2013,1.235,1.1,1.19,1.19,4,0.03,1.06769914609441,0.0279895757175402,0.00202500000000001,0.00202500000000001
247,PH,19221,2013,6.26,7.45,7.51,7.5,17,0.22,7.89666579192648,2.67867491446232,1.5376,1.5625
248,PAYX,19193,2013,1.6,1.51,1.6,1.6,24,0.01,1.49954602839232,0.0100910004117567,0,0
249,JCP,19067,2013,-3.5,1.28,1.57,1.59,12,0.2,-0.173733847146271,11.0640465196203,25.9081,25.7049
250,PBY,19102,2013,0.32,0.51,0.93,0.93,2,0.01,0.521343555890448,0.0405392274986101,0.3721,0.3721
251,PEP,19039,2013,4.1,4.4,4.09,4.09,16,0.04,4.59644808933038,0.246460705399783,9.99999999999957e-05,9.99999999999957e-05
252,PETM,19067,2013,3.55,2.55,3.12,3.1,22,0.06,2.74077909946742,0.654838465858756,0.2025,0.1849
253,PFE,19039,2013,2.19,2.31,2.26,2.27,22,0.04,2.25592846061169,0.00434656191862671,0.00640000000000001,0.00489999999999998
254,PD,16484,2006,7.95,5.525,5.39,5.42,17,0.65,10.3826978884039,5.91801901624493,6.4009,6.5536
255,PIR,19102,2013,1.2,0.94,1.13,1.12,12,0.03,0.792365878718849,0.166165576832656,0.00639999999999998,0.00490000000000001
256,PXD,19039,2013,3.66,3.93,5.4,5.32,28,0.86,3.63179986239978,0.000795247760671148,2.7556,3.0276
257,PBI,19039,2013,2.18,2.35,2.11,2.1,5,0.06,2.84816043094866,0.4464383614855,0.00640000000000001,0.00490000000000004
258,PDG,15784,2004,0.4,0.33,0.43,0.42,25,0.13,0.839990908673166,0.193591999715039,0.000399999999999999,0.000899999999999998
259,PLT,19130,2013,2.77,2.65,2.71,2.68,7,0.1,2.72694834557627,0.00185344494862054,0.00809999999999998,0.00360000000000001
260,PII,19039,2013,4.4,3.2,3.85,3.82,13,0.08,3.2388773609234,1.3482057829762,0.336400000000001,0.3025
261,POT,19039,2013,2.71,3.51,3.7,3.63,25,0.28,3.51990864819444,0.655952018420144,0.8464,0.9801
262,PX,19039,2013,5.57,5.43,5.82,5.82,17,0.04,5.78587751212844,0.0466031002427632,0.0625,0.0625
