sicind,beta,rsq
High-tech,0.976771959181319,0.786600773431828
Manufacturing,0.813814005285968,0.582307684823327
Shops Wholesale, Retail, and Some Services,0.998073289019126,0.832040460310631
other,0.923592702085111,0.827275489025779
Healthcare,1.01132776300283,0.909262889599025
Enrgy Oil, Gas, and Coal Extraction and Products,0.844698630146846,0.666041188598219
Consumer NonDurables,0.910932176996141,0.795848005391619
Consumer Durables,0.729326222054103,0.497560584290981
